Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 4,Male,Avalon Lakes Golf Club,Qualifying,Total,72,73,0,0,0,0,0,0,0
Player 1,Male,Avalon Lakes Golf Club,Qualifying,Total,72,83,0,0,0,0,0,0,0
Player 2,Male,Longue Vue Club,Qualifying,Total,70,81,0,0,0,0,0,0,0
Player 12,Male,Avalon Lakes Golf Club,Qualifying,Total,72,77,0,0,0,0,0,0,0
Player 12,Male,Nemacolin Resort - Shepards Rock,Qualifying,Total,72,74,0,0,0,0,0,0,0
Player 13,Male,Nemacolin Resort - Shepards Rock,Qualifying,Total,72,75,0,0,0,0,0,0,0
Player 9,Male,Avalon Lakes Golf Club,Qualifying,Total,72,78,0,0,0,0,0,0,0
Player 1,Male,Longue Vue Club,Qualifying,Total,70,79,0,0,0,0,0,0,0
Player 3,Male,Indiana Country Club,Qualifying,Total,71,72,0,0,0,0,0,0,0
Player 1,Male,Indiana Country Club,Qualifying,Total,71,73,0,0,0,0,0,0,0
Player 12,Male,Indiana Country Club,Qualifying,Total,71,70,0,0,0,0,0,0,0
Player 2,Male,Longue Vue Club,Qualifying,Total,70,77,0,0,0,0,0,0,0
Player 11,Male,Meadville Country Club,Tournament,Total,72,70,0,0,0,0,0,0,0
Player 12,Male,Meadville Country Club,Tournament,Total,72,78,0,0,0,0,0,0,0
Player 5,Male,Indiana Country Club,Qualifying,Total,71,75,0,0,0,0,0,0,0
Player 9,Male,Meadville Country Club,Tournament,Total,72,78,0,0,0,0,0,0,0
Player 6,Male,Nemacolin Resort - Shepards Rock,Qualifying,Total,72,73,0,0,0,0,0,0,0
Player 3,Male,PGA National - Champions,Tournament,Total,72,78,0,0,0,0,0,0,0
Player 10,Male,PGA National - Champions,Tournament,Total,72,85,0,0,0,0,0,0,0
Player 14,Male,PGA National - Champions,Tournament,Total,72,80,0,0,0,0,0,0,0
Player 7,Male,Longue Vue Club,Qualifying,Total,70,86,0,0,0,0,0,0,0
Player 3,Male,PGA National - Champions,Tournament,Total,72,76,0,0,0,0,0,0,0
Player 6,Male,Longue Vue Club,Qualifying,Total,70,77,0,0,0,0,0,0,0
Player 8,Male,PGA National - Champions,Tournament,Total,72,79,0,0,0,0,0,0,0
Player 11,Male,Longue Vue Club,Qualifying,Total,70,73,0,0,0,0,0,0,0
Player 11,Male,Longue Vue Club,Qualifying,Total,70,72,0,0,0,0,0,0,0
Player 6,Male,Longue Vue Club,Qualifying,Total,70,70,0,0,0,0,0,0,0
Player 12,Male,Longue Vue Club,Qualifying,Total,70,75,0,0,0,0,0,0,0
Player 11,Male,Longue Vue Club,Qualifying,Total,70,72,0,0,0,0,0,0,0
Player 11,Male,Longue Vue Club,Qualifying,Total,70,75,0,0,0,0,0,0,0
Player 10,Male,Longue Vue Club,Qualifying,Total,70,79,0,0,0,0,0,0,0
Player 4,Male,Columbus Country Club,Tournament,Total,72,76,0,0,0,0,0,0,0
Player 3,Male,Columbus Country Club,Tournament,Total,72,72,0,0,0,0,0,0,0
Player 6,Male,Columbus Country Club,Tournament,Total,72,72,0,0,0,0,0,0,0
Player 3,Male,Columbus Country Club,Tournament,Total,72,73,0,0,0,0,0,0,0
Player 4,Male,Longue Vue Club,Qualifying,Total,70,71,0,0,0,0,0,0,0
Player 4,Male,Columbus Country Club,Tournament,Total,72,73,0,0,0,0,0,0,0
Player 10,Male,Longue Vue Club,Qualifying,Total,70,77,0,0,0,0,0,0,0
