"","Name","Course","Hole","Par","Score","Gender"
"1","Player 1","Longue Vue Club","Total",70,83,"Male"
"2","Player 2","Longue Vue Club","Total",70,81,"Male"
"3","Player 3","Longue Vue Club","Total",70,70,"Male"
"4","Player 3","Avalon Lakes Golf Club","Total",72,71,"Male"
"5","Player 4","Avalon Lakes Golf Club","Total",72,73,"Male"
"6","Player 5","Longue Vue Club","Total",70,79,"Male"
"7","Player 6","Avalon Lakes Golf Club","Total",72,75,"Male"
"8","Player 1","Avalon Lakes Golf Club","Total",72,83,"Male"
"9","Player 7","Avalon Lakes Golf Club","Total",72,81,"Male"
"10","Player 8","Avalon Lakes Golf Club","Total",72,77,"Male"
"11","Player 9","Longue Vue Club","Total",70,80,"Male"
"12","Player 10","Avalon Lakes Golf Club","Total",72,76,"Male"
"13","Player 11","Avalon Lakes Golf Club","Total",72,83,"Male"
"14","Player 9","Avalon Lakes Golf Club","Total",72,78,"Male"
"15","Player 2","Longue Vue Club","Total",70,81,"Male"
"16","Player 2","Avalon Lakes Golf Club","Total",72,86,"Male"
"17","Player 12","Avalon Lakes Golf Club","Total",72,77,"Male"
"18","Player 1","Nemacolin Resort - Shepards Rock","Total",72,81,"Male"
"19","Player 10","Nemacolin Resort - Shepards Rock","Total",72,73,"Male"
"20","Player 12","Nemacolin Resort - Shepards Rock","Total",72,74,"Male"
"21","Player 11","Nemacolin Resort - Shepards Rock","Total",72,72,"Male"
"22","Player 11","Nemacolin Resort - Shepards Rock","Total",72,71,"Male"
"23","Player 13","Nemacolin Resort - Shepards Rock","Total",72,75,"Male"
"24","Player 13","Avalon Lakes Golf Club","Total",72,85,"Male"
"25","Player 2","Nemacolin Resort - Shepards Rock","Total",72,82,"Male"
"26","Player 14","Longue Vue Club","Total",70,70,"Male"
"27","Player 13","Longue Vue Club","Total",70,77,"Male"
"28","Player 4","Nemacolin Resort - Shepards Rock","Total",72,73,"Male"
"29","Player 1","Longue Vue Club","Total",70,79,"Male"
"30","Player 4","Indiana Country Club","Total",71,68,"Male"
"31","Player 11","Indiana Country Club","Total",71,81,"Male"
"32","Player 3","Indiana Country Club","Total",71,72,"Male"
"33","Player 8","Indiana Country Club","Total",71,72,"Male"
"34","Player 14","Indiana Country Club","Total",71,72,"Male"
"35","Player 1","Indiana Country Club","Total",71,73,"Male"
"36","Player 10","Indiana Country Club","Total",71,80,"Male"
"37","Player 4","Nemacolin Resort - Shepards Rock","Total",72,77,"Male"
"38","Player 12","Indiana Country Club","Total",71,70,"Male"
"39","Player 2","Indiana Country Club","Total",71,75,"Male"
"40","Player 2","Longue Vue Club","Total",70,78,"Male"
"41","Player 13","Indiana Country Club","Total",71,78,"Male"
