Timestamp,Name,Date,Course ,Score,Round,Par,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Score,Par,Fairway Hit or Missed,Green Hit or Missed,Approach Distance to Green ,Putts,First Putt Length - Proximity to Hole,Penalty Shot,Par 3 Scoring,Par 4 Scoring,Par 5 Scoring,SG: Putting,Fairways,Greens,<50 Hit,<50 Total,51-75,51-75 Total,76-100,76-100 Total,101-125,101-125 Total,126-150,126-150 Total,151-175,151-175 Total,176-200,176-200 Total,201-225,201-225 Total,226+,226+ Total,SG: Approach
8/29/19 10:50,Player 1,8/28/19,Longue Vue Club,83,Qualifying,70,5,4,Missed,Hit,126-150 yards,3,40,No Penalty Shot,4,4,Hit,Hit,76-100 yards,2,12,No Penalty Shot,5,3,Not Applicable (PAR 3),Miss,Less than 50 yards,3,30,No Penalty Shot,6,5,Missed,Miss,126-150 yards,1,5,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,Less than 50 yards,2,18,No Penalty Shot,4,4,Missed,Hit,101-125 yards,2,25,No Penalty Shot,4,4,Missed,Hit,Less than 50 yards,2,12,No Penalty Shot,6,5,Hit,Miss,51-75 yards,2,20,No Penalty Shot,4,4,Hit,Miss,101-125 yards,1,10,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,15,No Penalty Shot,5,4,Hit,Hit,126-150 yards,3,35,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,201-225 yards,2,50,No Penalty Shot,5,4,Missed,Miss,76-100 yards,2,8,No Penalty Shot,5,4,Missed,Miss,151-175 yards,2,20,No Penalty Shot,5,5,Hit,Hit,76-100 yards,2,50,No Penalty Shot,4,3,Not Applicable (PAR 3),Hit,201-225 yards,3,35,No Penalty Shot,5,4,Miss,Miss,176-200 yards,2,15,No Penalty Shot,5,4,Missed,Miss,151-175 yards,2,25,No Penalty Shot,#REF!,#REF!,#REF!,-4.81,5,8,1,3,0,1,2,3,1,2,2,3,0,2,1,2,1,2,0,0,-5.18
8/29/19 12:27,Player 2,8/28/19,Longue Vue Club,81,Qualifying,70,5,4,Hit,Miss,151-175 yards,2,10,No Penalty Shot,4,4,Hit,Hit,126-150 yards,2,20,No Penalty Shot,5,3,Not Applicable (PAR 3),Miss,201-225 yards,2,30,No Penalty Shot,5,5,Missed,Hit,151-175 yards,2,35,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,35,No Penalty Shot,4,4,Missed,Miss,151-175 yards,1,3,No Penalty Shot,6,4,Missed,Miss,76-100 yards,3,15,No Penalty Shot,7,5,Missed,Miss,101-125 yards,2,15,OB,5,4,Missed,Hit,225 + yards,3,45,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,151-175 yards,2,30,No Penalty Shot,4,4,Hit,Hit,151-175 yards,2,7,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,25,No Penalty Shot,4,4,Hit,Hit,76-100 yards,2,15,No Penalty Shot,4,4,Hit,Hit,176-200 yards,2,10,No Penalty Shot,5,5,Missed,Hit,151-175 yards,2,20,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,30,No Penalty Shot,5,4,Hit,Miss,225 + yards,2,17,No Penalty Shot,5,4,Missed,Miss,225 + yards,2,15,No Penalty Shot,#REF!,#REF!,#REF!,-4.51,6,10,0,0,0,0,1,2,0,1,1,1,3,6,3,3,1,2,1,3,-3.169
8/30/19 20:47,Player 3,8/30/19,Longue Vue Club,70,Qualifying,70,4,4,Hit,Hit,126-150 yards,2,24,No Penalty Shot,4,4,Hit,Hit,51-75 yards,2,17,No Penalty Shot,3,3,Not Applicable (PAR 3),Miss,201-225 yards,1,4,No Penalty Shot,5,5,Missed,Miss,Less than 50 yards,1,7,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,30,No Penalty Shot,4,4,Hit,Hit,126-150 yards,2,7,No Penalty Shot,4,4,Missed,Hit,Less than 50 yards,2,4,No Penalty Shot,4,5,Missed,Hit,Less than 50 yards,1,1,No Penalty Shot,4,4,Missed,Miss,76-100 yards,1,1.5,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,176-200 yards,2,8,No Penalty Shot,5,4,Missed,Hit,126-150 yards,3,27,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,27,No Penalty Shot,4,4,Hit,Hit,51-75 yards,2,18,No Penalty Shot,4,4,Hit,Hit,126-150 yards,2,15,No Penalty Shot,5,5,Missed,Hit,126-150 yards,2,12,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,45,No Penalty Shot,4,4,Hit,Hit,126-150 yards,2,35,No Penalty Shot,3,4,Hit,Hit,126-150 yards,1,6,No Penalty Shot,#REF!,#REF!,#REF!,-2.86,7,14,2,3,2,2,0,1,0,0,7,7,0,0,1,2,2,3,0,0,-0.341
8/31/19 17:33,Player 3,8/31/19,Avalon Lakes Golf Club,71,Qualifying,72,5,4,Hit,Miss,176-200 yards,2,7,No Penalty Shot,4,4,Hit,Hit,126-150 yards,2,15,No Penalty Shot,4,5,Hit,Hit,176-200 yards,1,8,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,151-175 yards,2,24,No Penalty Shot,4,4,Hit,Hit,Less than 50 yards,2,5,No Penalty Shot,5,5,Hit,Hit,225 + yards,2,18,No Penalty Shot,4,4,Hit,Hit,101-125 yards,2,7,No Penalty Shot,5,3,Not Applicable (PAR 3),Miss,201-225 yards,3,18,No Penalty Shot,4,4,Missed,Hit,101-125 yards,2,6,No Penalty Shot,4,4,Hit,Hit,51-75 yards,2,12,No Penalty Shot,4,5,Hit,Hit,Less than 50 yards,1,10,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,15,No Penalty Shot,4,4,Missed,Hit,126-150 yards,2,11,No Penalty Shot,4,5,Hit,Hit,201-225 yards,1,4,No Penalty Shot,3,4,Hit,Hit,76-100 yards,1,2,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,13,No Penalty Shot,4,4,Hit,Hit,126-150 yards,2,35,No Penalty Shot,4,4,Missed,Hit,176-200 yards,2,18,No Penalty Shot,#REF!,#REF!,#REF!,-4.03,11,16,2,2,1,1,1,1,2,2,3,3,1,1,2,3,3,4,1,1,2.234
8/31/19 17:42,Player 4,8/31/19,Avalon Lakes Golf Club,73,Qualifying,72,4,4,Missed,Miss,126-150 yards,1,4,No Penalty Shot,4,4,Missed,Hit,151-175 yards,2,20,No Penalty Shot,4,5,Missed,Hit,Less than 50 yards,1,6,No Penalty Shot,2,3,Not Applicable (PAR 3),Hit,176-200 yards,1,15,No Penalty Shot,3,4,Hit,Hit,Less than 50 yards,1,5,No Penalty Shot,5,5,Hit,Hit,Less than 50 yards,2,17,No Penalty Shot,4,4,Missed,Hit,126-150 yards,2,15,No Penalty Shot,7,3,Not Applicable (PAR 3),Miss,201-225 yards,2,7,Red Penalty Area,4,4,Hit,Hit,51-75 yards,2,5,No Penalty Shot,4,4,Missed,Hit,101-125 yards,2,10,No Penalty Shot,5,5,Missed,Hit,51-75 yards,2,20,No Penalty Shot,2,3,Not Applicable (PAR 3),Hit,201-225 yards,1,3,No Penalty Shot,5,4,Missed,Miss,151-175 yards,2,12,No Penalty Shot,5,5,Missed,Hit,201-225 yards,3,30,No Penalty Shot,3,4,Hit,Hit,101-125 yards,1,8,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,176-200 yards,2,20,No Penalty Shot,4,4,Hit,Hit,101-125 yards,2,7,No Penalty Shot,4,4,Hit,Miss,176-200 yards,1,2,No Penalty Shot,#REF!,#REF!,#REF!,-2.17,6,13,3,3,2,2,0,0,3,3,1,2,1,2,1,3,2,3,0,0,0.443
8/31/19 17:44,Player 5,8/30/19,Longue Vue Club,79,Qualifying,70,4,4,Hit,Hit,151-175 yards,2,25,No Penalty Shot,4,4,Hit,Hit,101-125 yards,2,8,No Penalty Shot,5,3,Not Applicable (PAR 3),Miss,201-225 yards,2,8,No Penalty Shot,5,5,Missed,Hit,201-225 yards,2,7,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,176-200 yards,2,4,No Penalty Shot,6,4,Hit,Miss,76-100 yards,2,5,No Penalty Shot,5,4,Hit,Hit,76-100 yards,3,10,No Penalty Shot,5,5,Hit,Hit,Less than 50 yards,2,25,No Penalty Shot,5,4,Missed,Miss,201-225 yards,2,5,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,151-175 yards,2,37,No Penalty Shot,4,4,Hit,Hit,151-175 yards,2,15,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,40,No Penalty Shot,4,4,Hit,Hit,101-125 yards,2,8,No Penalty Shot,4,4,Hit,Hit,151-175 yards,2,7,No Penalty Shot,5,5,Hit,Hit,76-100 yards,2,10,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,22,No Penalty Shot,5,4,Hit,Miss,201-225 yards,2,6,No Penalty Shot,5,4,Hit,Hit,201-225 yards,3,45,No Penalty Shot,#REF!,#REF!,#REF!,-8.56,11,13,1,1,0,0,2,3,2,2,0,0,4,4,0,1,4,7,0,0,-1.827
8/31/19 17:48,Player 6,8/31/19,Avalon Lakes Golf Club,75,Qualifying,72,5,4,Missed,Miss,126-150 yards,2,10,No Penalty Shot,4,4,Missed,Miss,126-150 yards,1,7,No Penalty Shot,5,5,Missed,Miss,Less than 50 yards,2,20,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,25,No Penalty Shot,3,4,Hit,Hit,Less than 50 yards,1,1,No Penalty Shot,6,5,Hit,Miss,201-225 yards,2,20,Red Penalty Area,5,4,Hit,Miss,126-150 yards,2,8,No Penalty Shot,4,3,Not Applicable (PAR 3),Hit,201-225 yards,3,30,No Penalty Shot,4,4,Missed,Hit,76-100 yards,2,8,No Penalty Shot,4,4,Hit,Hit,51-75 yards,2,8,No Penalty Shot,5,5,Hit,Miss,Less than 50 yards,1,1,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,15,No Penalty Shot,4,4,Hit,Hit,126-150 yards,2,35,No Penalty Shot,7,5,Missed,Miss,76-100 yards,2,12,Red Penalty Area,3,4,Missed,Hit,76-100 yards,1,12,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,25,No Penalty Shot,2,4,Hit,Hit,76-100 yards,0,0,No Penalty Shot,5,4,Missed,Miss,201-225 yards,2,10,No Penalty Shot,#REF!,#REF!,#REF!,-2.94,7,10,1,3,1,1,3,4,0,0,1,4,0,0,1,1,3,5,0,0,1.464
8/31/19 17:50,Player 1,8/31/19,Avalon Lakes Golf Club,83,Qualifying,72,5,4,Missed,Hit,151-175 yards,3,25,No Penalty Shot,5,4,Missed,Miss,126-150 yards,1,5,Red Penalty Area,4,5,Hit,Hit,Less than 50 yards,1,8,No Penalty Shot,5,3,Not Applicable (PAR 3),Miss,151-175 yards,2,15,No Penalty Shot,5,4,Missed,Miss,76-100 yards,2,25,No Penalty Shot,5,5,Missed,Hit,151-175 yards,2,40,No Penalty Shot,5,4,Missed,Miss,101-125 yards,2,10,No Penalty Shot,5,3,Not Applicable (PAR 3),Miss,201-225 yards,2,30,Red Penalty Area,5,4,Missed,Miss,51-75 yards,2,9,No Penalty Shot,4,4,Missed,Hit,76-100 yards,2,7,No Penalty Shot,5,5,Missed,Hit,101-125 yards,2,18,No Penalty Shot,3,3,Not Applicable (PAR 3),Miss,176-200 yards,1,30,No Penalty Shot,5,4,Hit,Miss,151-175 yards,2,12,No Penalty Shot,6,5,Hit,Miss,201-225 yards,2,20,No Penalty Shot,3,4,Hit,Hit,51-75 yards,1,35,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,201-225 yards,1,6,No Penalty Shot,3,4,Hit,Hit,76-100 yards,1,15,No Penalty Shot,6,4,Hit,Miss,176-200 yards,2,9,Red Penalty Area,#REF!,#REF!,#REF!,0.25,6,7,1,1,1,2,2,3,1,2,0,1,2,4,0,2,0,3,0,0,-6.242
8/31/19 17:51,Player 7,8/31/19,Avalon Lakes Golf Club,81,Qualifying,72,5,4,Hit,Miss,101-125 yards,2,6,No Penalty Shot,6,4,Hit,Miss,151-175 yards,2,40,No Penalty Shot,6,5,Missed,Miss,176-200 yards,2,25,OB,4,3,Not Applicable (PAR 3),Miss,176-200 yards,2,15,No Penalty Shot,4,4,Hit,Hit,Less than 50 yards,2,13,No Penalty Shot,4,5,Missed,Hit,Less than 50 yards,1,34,No Penalty Shot,4,4,Hit,Miss,101-125 yards,1,5,No Penalty Shot,4,3,Not Applicable (PAR 3),Hit,126-150 yards,2,30,No Penalty Shot,6,4,Hit,Miss,76-100 yards,2,20,Red Penalty Area,4,4,Missed,Hit,126-150 yards,1,13,No Penalty Shot,4,5,Hit,Hit,225 + yards,2,34,No Penalty Shot,4,3,Not Applicable (PAR 3),Hit,201-225 yards,3,25,No Penalty Shot,4,4,Missed,Hit,101-125 yards,2,14,No Penalty Shot,6,5,Missed,Miss,Less than 50 yards,2,23,Red Penalty Area,4,4,Hit,Hit,76-100 yards,2,6,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,29,No Penalty Shot,4,4,Hit,Hit,101-125 yards,2,27,No Penalty Shot,5,4,Missed,Miss,101-125 yards,1,15,Red Penalty Area,#REF!,#REF!,#REF!,-0.58,8,10,2,3,0,0,1,2,2,5,2,2,0,1,0,2,2,2,1,1,-3.291
8/31/19 17:52,Player 8,8/31/19,Avalon Lakes Golf Club,77,Qualifying,72,4,4,Missed,Hit,151-175 yards,2,7,No Penalty Shot,5,4,Missed,Miss,225 + yards,1,6,Red Penalty Area,3,5,Hit,Hit,176-200 yards,1,25,No Penalty Shot,3,3,Not Applicable (PAR 3),Hit,151-175 yards,2,30,No Penalty Shot,4,4,Missed,Hit,51-75 yards,2,18,No Penalty Shot,4,5,Missed,Hit,126-150 yards,1,4,No Penalty Shot,4,4,Missed,Hit,176-200 yards,2,35,No Penalty Shot,5,3,Not Applicable (PAR 3),Miss,201-225 yards,1,2,Red Penalty Area,5,4,Missed,Miss,101-125 yards,1,4,No Penalty Shot,4,4,Hit,Hit,101-125 yards,2,9,No Penalty Shot,6,5,Missed,Miss,126-150 yards,2,30,Red Penalty Area,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,10,No Penalty Shot,6,4,Missed,Miss,101-125 yards,3,15,Red Penalty Area,5,5,Hit,Hit,176-200 yards,2,8,No Penalty Shot,4,4,Missed,Miss,76-100 yards,1,8,No Penalty Shot,4,3,Not Applicable (PAR 3),Miss,201-225 yards,2,8,No Penalty Shot,5,4,Miss,Miss,101-125 yards,2,30,Red Penalty Area,3,4,Missed,Hit,151-175 yards,1,15,No Penalty Shot,#REF!,#REF!,#REF!,-0.84,3,10,0,0,1,1,0,1,1,4,1,2,3,3,3,3,1,3,0,1,-2.759
